"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C20,C4,C6,C7,C9,C10,C11,C12,C13,C17,C18";"C0402";11;"CL05B104JP5NNNC";;;
2;"SW2,SW1";"B3U-1000P";2;"B3U-1000P";;;
3;"R21,R22,R7,R10,R13";"R0402";5;"RC1005F103CS";;;
4;"R20";"R0402";1;"RC1005F123CS";;;
5;"U4";"ESP3212";1;"ESP3212";;;
6;"C19,C3";"C0603";2;"CL10A106KQ8NNNC";;;
7;"P1,P2";"Socket_Strip_Straight_1x18";2;"CONN_01X18";;;
8;"U1";"BQ24210";1;"BQ24210DQCT";;;
9;"D1";"BAT20JFILM";1;"BAT20JFILM";;;
10;"Q1,Q2";"DMG2307L-7";2;"DMG2307L-7";;;
11;"X2";"ABS07-32.768KHZ-9-T";1;"ABS07-32.768KHZ-9-T";;;
12;"D2";"RSB39VTE-17";1;"RSB39VTE-17";;;
13;"DA1";"ESDA6V1BC6";1;"ESDA6V1BC6";;;
14;"X1";"ABM3B8.000MHZB2T";1;"ABM3B8.000MHZB2T";;;
15;"FD1,FD2,FD3";"FIDUCIAL";3;"FIDUCIAL";;;
16;"H2,H1";"M2.5_HOLE";2;"M2.5_Hole";;;
17;"U3";"STM32F446RET6";1;"STM32F446RET6_-_TQFP64";;;
18;"C1,C2";"C0402";2;"CL05A105KA5NQNC";;;
19;"C5,C8";"C0402";2;"CL05C090CB5NNNC";;;
20;"C14,C15";"C0402";2;"CL05C180GB5NCNC";;;
21;"C16";"C0402";1;"CL05A475KQ5NRNC";;;
22;"FB1";"BLM15HG601SN1D";1;"BLM15HG601SN1D";;;
23;"FB2";"MI0603K300R-10";1;"MI0603K300R-10";;;
24;"J1";"B2B-PH-K-S(LF)(SN)";1;"B2B-PH-K-S(LF)(SN)";;;
25;"J2";"B3B-PH-K-S(LF)(SN)";1;"B3B-PH-K-S(LF)(SN)";;;
26;"J3";"20021121-00010C4LF";1;"20021121-00010C4LF";;;
27;"J4";"0475890001";1;"0475890001-MicroUSBPort";;;
28;"LED1";"LED0603";1;"LTST-C191KGKT";;;
29;"LED2";"LED0603";1;"LTST-C191KFKT";;;
30;"LED3";"LED0603";1;"LTST-C193TBKT-5A";;;
31;"R1";"R0402";1;"RC1005F4870CS";;;
32;"R2,R8,R9,R14,R16,R17,R18,R19";"R0402";8;"RC1005F102CS";;;
33;"R3,R4";"R0603";2;"RC1608J202CS";;;
34;"R5,R6";"R0603";2;"ERA-3AEB3741V";;;
35;"R11,R12";"R0402";2;"CPF0402B22RE1";;;
36;"R15";"R0402";1;"RC1005J473CS";;;
37;"U2";"AZ1117CR-3.3TRG1";1;"AZ1117CR-3.3TRG1_1";;;
