"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C26,C35,C32,C4,C6,C7,C9,C10,C11,C12,C13,C17,C18,C21,C22,C28";"C0402";16;"CL05B104JP5NNNC";;;
2;"SW2,SW1";"B3U-1000P";2;"B3U-1000P";;;
3;"R25,R7,R10,R13,R21,R23";"R0402";6;"RC1005F103CS";;;
4;"H4,H3,H2,H1";"M2.5_HOLE";4;"M2.5_Hole";;;
5;"C23,C25,C3";"C0603";3;"CL10A106KQ8NNNC";;;
6;"U5";"W25Q64FWSSIG";1;"W25Q64FWSSIG";;;
7;"U4";"ESP32";1;"ESP32";;;
8;"L1";"BLM15HG601SN1D";1;"744901027";;;
9;"C29,C30";"C0402";2;"GRM1555C1H271FA01D";;;
10;"C33";"C0402";1;"600L3R9BT200T";;;
11;"C34";"C0402";1;"600L2R4BT200T";;;
12;"C20";"C0603";1;"C0603C103J5JAC7867";;;
13;"ANT1";"PCB_IF_ANT_2.4G";1;"Inverted_F_PCB_Antenna";;;
14;"R24,R22";"R0402";2;"ERJ-2GE0R00X";;;
15;"P1,P2";"Socket_Strip_Straight_1x18";2;"CONN_01X18";;;
16;"U1";"BQ24210";1;"BQ24210DQCT";;;
17;"D1";"BAT20JFILM";1;"BAT20JFILM";;;
18;"Q1,Q2";"DMG2307L-7";2;"DMG2307L-7";;;
19;"X2";"ABS07-32.768KHZ-9-T";1;"ABS07-32.768KHZ-9-T";;;
20;"D2";"RSB39VTE-17";1;"RSB39VTE-17";;;
21;"DA1";"ESDA6V1BC6";1;"ESDA6V1BC6";;;
22;"X1";"ABM3B8.000MHZB2T";1;"ABM3B8.000MHZB2T";;;
23;"FD1,FD2,FD3";"FIDUCIAL";3;"FIDUCIAL";;;
24;"U3";"STM32F446RET6";1;"STM32F446RET6_-_TQFP64";;;
25;"C1,C2";"C0402";2;"CL05A105KA5NQNC";;;
26;"C5,C8,C24,C27";"C0402";4;"CL05C090CB5NNNC";;;
27;"C14,C15";"C0402";2;"CL05C180GB5NCNC";;;
28;"C16";"C0402";1;"CL05A475KQ5NRNC";;;
29;"C19";"C0402";1;"GRM1557U1A302JA01D";;;
30;"FB1";"BLM15HG601SN1D";1;"BLM15HG601SN1D";;;
31;"FB2";"MI0603K300R-10";1;"MI0603K300R-10";;;
32;"J1";"B2B-PH-K-S(LF)(SN)";1;"B2B-PH-K-S(LF)(SN)";;;
33;"J2";"B3B-PH-K-S(LF)(SN)";1;"B3B-PH-K-S(LF)(SN)";;;
34;"J3";"20021121-00010C4LF";1;"20021121-00010C4LF";;;
35;"J4";"0475890001";1;"0475890001-MicroUSBPort";;;
36;"LED1";"LED0603";1;"LTST-C191KGKT";;;
37;"LED2";"LED0603";1;"LTST-C191KFKT";;;
38;"LED3";"LED0603";1;"LTST-C193TBKT-5A";;;
39;"R1";"R0402";1;"RC1005F4870CS";;;
40;"R2,R8,R9,R14,R16,R17,R18,R19";"R0402";8;"RC1005F102CS";;;
41;"R3,R4";"R0603";2;"RC1608J202CS";;;
42;"R5,R6";"R0603";2;"ERA-3AEB3741V";;;
43;"R11,R12";"R0402";2;"CPF0402B22RE1";;;
44;"R15";"R0402";1;"RC1005J473CS";;;
45;"R20";"R0402";1;"RC1005F203CS";;;
46;"T1";"1909763-1";1;"1909763-1";;;
47;"U2";"AZ1117CR-3.3TRG1";1;"AZ1117CR-3.3TRG1_1";;;
48;"X3";"FA-128_26.0000MF10Z-AC3";1;"FA-128_26.0000MF10Z-AC3";;;
